"first","second","n"
"doing","it",383
"still","in",383
"world","of",381
"matter","how",380
"name","of",380
"pay","for",380
"school","and",380
"two","weeks",380
"care","about",378
"guess","i",377
"cup","of",376
"does","that",375
"fun","to",375
"took","the",375
"attempt","to",374
"hes","a",374
"coming","out",373
"called","the",372
"plan","to",371
"series","of",370
"addition","to",369
"whats","your",368
"looked","at",367
"night","at",367
"morning","i",366
"right","i",366
"difficult","to",365
"felt","like",365
"following","me",365
"home","to",365
"wanting","to",365
"home","from",364
"really","want",364
"university","of",364
"being","the",362
"remember","the",362
"set","of",362
"started","to",362
"always","be",361
"onto","the",361
"guys","are",360
"meet","you",360
"among","the",359
"meant","to",359
"los","angeles",358
"pictures","of",358
"youll","be",358
"headed","to",357
"involved","in",356
"never","be",356
"text","me",356
"other","day",354
"power","of",354
"change","the",352
"heard","of",352
"maybe","i",352
"anyone","who",350
"everyone","who",350
"far","as",350
"person","who",350
"also","be",349
"ill","have",349
"history","of",348
"still","a",348
"id","be",347
"lets","get",347
"her","own",345
"return","to",345
"such","an",345
"wrong","with",345
"although","i",343
"everything","is",342
"feel","better",342
"world","is",342
"oh","i",341
"hang","out",340
"heading","to",340
"members","of",340
"level","of",339
"very","well",339
"sorry","for",338
"without","the",338
"thousands","of",337
"morning","and",336
"realize","that",336
"doesnt","have",335
"turned","out",335
"most","people",333
"also","the",332
"exactly","what",332
"allowed","to",330
"member","of",330
"first","day",329
"his","wife",329
"kinds","of",329
"sitting","in",329
"turns","out",329
"making","the",328
"began","to",327
"want","you",327
"youre","welcome",327
"congrats","on",326
"followed","by",326
"hours","of",326
"show","you",326
"worry","about",324
"wouldnt","be",324
"glad","i",323
"making","it",323
"saying","that",323
"weeks","ago",323
"always","a",322
"hit","me",322
"variety","of",322
"little","more",321
"using","a",321
"music","and",320
"omg","i",319
"ask","for",318
"believe","it",318
"thank","god",318
"write","a",318
"his","first",317
"win","the",317
"best","to",316
"goes","to",316
"need","some",316
"around","and",315
"attention","to",315
"catch","up",315
"remember","that",315
"wish","you",315
"send","me",314
"being","able",313
"reminds","me",313
"together","and",313
"used","the",313
"hear","the",312
"weekend","i",312
"went","on",312
"everyone","else",311
"san","francisco",311
"world","and",311
"book","is",310
"example","of",310
"book","and",309
"agree","with",308
"course","i",308
"through","my",308
"always","been",307
"asked","me",307
"cause","i",305
"enough","for",305
"myself","to",305
"really","like",305
"near","the",304
"valentines","day",304
"beginning","of",302
"both","the",302
"comes","from",302
"despite","the",302
"inside","the",302
"new","years",302
"these","things",302
"found","the",301
"happen","to",300
"loved","it",300
"compared","to",299
"hate","when",299
"tell","us",299
"terms","of",299
"towards","the",299
"ahead","of",298
"id","love",298
"outside","the",298
"room","and",298
"sign","up",297
"getting","the",295
"left","the",295
"case","of",294
"days","i",294
"though","the",294
"black","and",293
"choose","to",293
"closer","to",293
"heres","a",293
"learn","to",293
"share","with",293
"stay","in",293
"types","of",293
"came","from",292
"yet","i",292
"bottom","of",291
"friday","night",291
"someone","to",291
"looked","like",290
"miss","the",290
"leave","the",289
"loved","the",289
"play","with",289
"u","have",287
"vote","for",287
"win","a",287
"outside","of",286
"beautiful","day",285
"follow","you",285
"help","us",285
"understand","the",285
"means","that",284
"realized","that",284
"aware","of",283
"expected","to",283
"link","to",283
"lol","im",283
"thx","for",283
"water","and",283
"doesnt","mean",282
"given","the",282
"tons","of",282
"however","i",281
"might","not",281
"took","me",281
"d","i",280
"dealing","with",280
"copy","of",279
"interest","in",279
"spread","the",279
"ask","me",278
"hoping","to",278
"hundreds","of",278
"youve","got",278
"hey","i",277
"most","important",277
"r","u",277
"ok","i",276
"start","a",276
"tomorrow","i",276
"grew","up",275
"real","life",275
"reason","to",275
"age","of",274
"reason","i",274
"wait","until",274
"yet","to",274
"parts","of",273
"nothing","but",272
"open","to",271
"twitter","and",271
"heart","and",270
"including","the",270
"show","up",270
"won","the",270
"hanging","out",269
"hunger","games",269
"isnt","it",269
"days","and",268
"everything","i",268
"result","of",268
"knew","that",267
"soon","i",267
"appreciate","it",266
"enjoy","your",266
"every","single",266
"away","and",265
"comes","out",265
"first","i",265
"majority","of",265
"myself","and",265
"play","the",265
"weve","been",265
"ago","and",264
"lot","more",264
"once","i",264
"u","know",264
"percent","of",263
"rid","of",263
"stuck","in",263
"thank","u",263
"man","is",262
"mom","and",262
"read","this",262
"taking","the",262
"bit","more",261
"havent","seen",261
"tweet","me",261
"unable","to",261
"god","and",260
"going","through",260
"difference","between",259
"except","for",259
"related","to",259
"tonight","and",259
"thankful","for",258
"told","him",258
"wanna","go",258
"weve","got",258
"god","i",257
"goes","on",257
